xml.source;xml.value;xml.lib;json.source;json.value;commentaire
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;3;Fioul domestique;/chauffage/generateur/energie;fioul;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;4;Bois – Bûches;/chauffage/generateur/energie;bois_buche;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;5;Bois – Granulés (pellets) ou briquettes;/chauffage/generateur/energie;bois_granule;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;6;Bois – Plaquettes forestières;/chauffage/generateur/energie;bois_plaquette;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;7;Bois – Plaquettes d’industrie;/chauffage/generateur/energie;bois_plaquette;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;8;Réseau de Chauffage urbain;/chauffage/generateur/energie;reseau_chaleur;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;9;Propane;/chauffage/generateur/energie;gpl;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;10;Butane;/chauffage/generateur/energie;gpl;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;11;Charbon;/chauffage/generateur/energie;charbon;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;12;Électricité d'origine renouvelable utilisée dans le bâtiment;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;13;GPL;/chauffage/generateur/energie;gpl;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;145;pompe à chaleur hybride : partie pompe à chaleur PAC air/eau installée entre 2008 et 2014;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;146;pompe à chaleur hybride : partie pompe à chaleur PAC air/eau installée entre 2015 et 2016;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;147;pompe à chaleur hybride : partie pompe à chaleur PAC air/eau installée après 2017;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;148;pompe à chaleur hybride : partie chaudière Chaudière gaz à condensation 2001-2015;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;149;pompe à chaleur hybride : partie chaudière Chaudière gaz à condensation après 2015;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;150;pompe à chaleur hybride : partie chaudière Chaudière fioul à condensation 1996-2015;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;151;pompe à chaleur hybride : partie chaudière Chaudière fioul à condensation après 2015;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;152;pompe à chaleur hybride : partie chaudière Chaudière bois granulés 2013-2019;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;153;pompe à chaleur hybride : partie chaudière Chaudière bois granulés après 2019;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;154;pompe à chaleur hybride : partie chaudière Chaudière bois bûche 2013-2017;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;155;pompe à chaleur hybride : partie chaudière Chaudière bois bûche 2018-2019;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;156;pompe à chaleur hybride : partie chaudière Chaudière bois bûche après 2019;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;157;pompe à chaleur hybride : partie chaudière Chaudière bois plaquette 2013-2017;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;158;pompe à chaleur hybride : partie chaudière Chaudière bois plaquette 2018-2019;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;159;pompe à chaleur hybride : partie chaudière Chaudière bois plaquette après 2019;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;160;pompe à chaleur hybride : partie chaudière Chaudière gpl/propane/butane à condensation 2001-2015;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;161;pompe à chaleur hybride : partie chaudière Chaudière gpl/propane/butane à condensation après 2015;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;162;pompe à chaleur hybride : partie pompe à chaleur PAC eau/eau installée entre 2008 et 2014;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_generateur_ch_id;163;pompe à chaleur hybride : partie pompe à chaleur PAC eau/eau installée entre 2015 et 2016;/chauffage/generateur/energie;electricite;
